A,B,C,D,MINA,MINB,MINC,MIND,MAXA,MAXB,MAXC,MAXD,NORMA,NORMB,NORMC,NORMD
-235.1942342,615.8659905,-0.650068302,-0.304443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.315502432,-0.851976147,0.081311852,0.038084171
-234.8897908,616.5160588,-0.550068302,-0.264443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.315094035,-0.852875437,0.068803651,0.033080395
-234.6253473,617.0661271,-0.450068302,-0.224443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.314739296,-0.85363639,0.05629545,0.028076619
-234.4009039,617.5161954,-0.350068302,-0.184443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.314438215,-0.854259006,0.043787248,0.023072843
-234.2164605,617.8662637,-0.250068302,-0.144443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.314190793,-0.854743283,0.031279047,0.018069067
-234.072017,618.116332,-0.150068302,-0.104443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.313997028,-0.855089222,0.018770846,0.01306529
-233.9675736,618.2664003,-0.050068302,-0.064443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.313856922,-0.855296823,0.006262644,0.008061514
-233.9031301,618.3164686,-0.031415631,-0.207152536,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.313770474,-0.855366087,0.00392953,0.025913623
-233.6959776,618.3478843,-0.01276296,-0.349861627,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.313492588,-0.855409547,0.001596417,0.043765732
-233.346116,618.3606472,0.005889712,-0.492570719,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.313023265,-0.855427203,-0.000736697,0.061617841
